t,action,id,from,to
125,0,22-2-7,22-2,7
126,1,22-2-7,22-2,7
127,0,3-2-8,3-2,8
128,1,3-2-8,3-2,8
129,0,3-2-9,3-2,9
130,1,3-2-9,3-2,9
131,0,4-5-10,4-5,10
131,0,4-5-4,4-5,4
131,0,4-5-5,4-5,5
132,1,4-5-4,4-5,4
132,1,4-5-5,4-5,5
132,1,4-5-10,4-5,10
133,0,22-2-6,22-2,6
134,1,22-2-6,22-2,6
135,0,22-2-7,22-2,7
136,1,22-2-7,22-2,7
137,0,3-2-8,3-2,8
138,1,3-2-8,3-2,8
139,0,3-2-9,3-2,9
140,1,3-2-9,3-2,9
141,0,4-5-10,4-5,10
141,0,4-5-4,4-5,4
141,0,4-5-5,4-5,5
142,1,4-5-4,4-5,4
142,1,4-5-5,4-5,5
142,1,4-5-10,4-5,10
143,0,22-2-6,22-2,6
144,1,22-2-6,22-2,6
145,0,22-2-7,22-2,7
146,1,22-2-7,22-2,7
147,0,3-2-8,3-2,8
148,1,3-2-8,3-2,8
149,0,3-2-9,3-2,9
150,1,3-2-9,3-2,9
151,0,4-5-10,4-5,10
151,0,4-5-4,4-5,4
151,0,4-5-5,4-5,5
152,1,4-5-4,4-5,4
152,1,4-5-5,4-5,5
152,1,4-5-10,4-5,10
153,0,22-2-6,22-2,6
154,1,22-2-6,22-2,6
155,0,22-2-7,22-2,7
156,1,22-2-7,22-2,7
157,0,3-2-8,3-2,8
158,1,3-2-8,3-2,8
159,0,3-2-9,3-2,9
160,1,3-2-9,3-2,9
161,0,4-5-10,4-5,10
161,0,4-5-4,4-5,4
161,0,4-5-5,4-5,5
162,1,4-5-4,4-5,4
162,1,4-5-5,4-5,5
162,1,4-5-10,4-5,10
163,0,22-2-6,22-2,6
164,1,22-2-6,22-2,6
165,0,22-2-7,22-2,7
166,1,22-2-7,22-2,7
167,0,3-2-8,3-2,8
168,1,3-2-8,3-2,8
169,0,3-2-9,3-2,9
170,1,3-2-9,3-2,9
171,0,4-5-10,4-5,10
171,0,4-5-4,4-5,4
171,0,4-5-5,4-5,5
172,1,4-5-4,4-5,4
172,1,4-5-5,4-5,5
172,1,4-5-10,4-5,10
173,0,22-2-6,22-2,6
174,1,22-2-6,22-2,6
175,0,22-2-7,22-2,7
176,1,22-2-7,22-2,7
177,0,3-2-8,3-2,8
178,1,3-2-8,3-2,8
179,0,3-2-9,3-2,9
180,1,3-2-9,3-2,9
181,0,4-5-10,4-5,10
181,0,4-5-4,4-5,4
181,0,4-5-5,4-5,5
182,1,4-5-4,4-5,4
182,1,4-5-5,4-5,5
182,1,4-5-10,4-5,10
183,0,22-2-6,22-2,6
184,1,22-2-6,22-2,6
185,0,22-2-7,22-2,7
186,1,22-2-7,22-2,7
187,0,3-2-8,3-2,8
188,1,3-2-8,3-2,8
189,0,3-2-9,3-2,9
190,1,3-2-9,3-2,9
191,0,4-5-10,4-5,10
191,0,4-5-4,4-5,4
191,0,4-5-5,4-5,5
192,1,4-5-4,4-5,4
192,1,4-5-5,4-5,5
192,1,4-5-10,4-5,10
193,0,22-2-6,22-2,6
194,1,22-2-6,22-2,6
195,0,22-2-7,22-2,7
196,1,22-2-7,22-2,7
197,0,3-2-8,3-2,8
198,1,3-2-8,3-2,8
199,0,3-2-9,3-2,9
200,1,3-2-9,3-2,9
