t,action,id,label,level,group
163,2,6,6,0,21
164,3,6,6,0,21
165,2,7,7,0,21
166,3,7,7,0,21
167,2,8,8,0,11
168,3,8,8,0,11
169,2,9,9,0,11
170,3,9,9,0,11
171,2,10,10,0,21
171,0,4-5,4-5,1,m-nodes
172,1,4-5,4-5,1,m-nodes
172,3,10,10,0,21
173,2,6,6,0,21
174,3,6,6,0,21
175,2,7,7,0,21
176,3,7,7,0,21
177,2,8,8,0,11
178,3,8,8,0,11
179,2,9,9,0,11
180,3,9,9,0,11
181,2,10,10,0,21
181,0,4-5,4-5,1,m-nodes
182,1,4-5,4-5,1,m-nodes
182,3,10,10,0,21
183,2,6,6,0,21
184,3,6,6,0,21
185,2,7,7,0,21
186,3,7,7,0,21
187,2,8,8,0,11
188,3,8,8,0,11
189,2,9,9,0,11
190,3,9,9,0,11
191,2,10,10,0,21
191,0,4-5,4-5,1,m-nodes
192,1,4-5,4-5,1,m-nodes
192,3,10,10,0,21
193,2,6,6,0,21
194,3,6,6,0,21
195,2,7,7,0,21
196,3,7,7,0,21
197,2,8,8,0,11
198,3,8,8,0,11
199,2,9,9,0,11
200,3,9,9,0,11
